,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
0,"The pirates were found guilty of attempt to murder and kidnapping for taking 22 people hostage on board a commercial ship from Thailand. This is one of the four cases registered against 120 Somali pirates, for holding 91 people from different countries.",45,95,97.67441860465115,42,43,"A Mumbai court has convicted 15 Somali pirates to 7 years of imprisonment in a 2011 case. The pirates were found guilty of attempt to murder and kidnapping for taking 22 people hostage on board a commercial ship from Thailand. This is one of the four cases registered against 120 Somali pirates, for holding 91 people from different countries hostage.","The pirates were found guilty of attempt to murder and kidnapping for taking 22 people hostage on board a commercial ship from Thailand. This is one of the four cases registered against 120 Somali pirates, for holding 91 people from different countries hostage.",60,43,0.54,0.7166666666666667,0.7166666666666667,-0.17666666666666664,0.7534883720930233,0.7
1,Teacher of a private school in Haridwar district of Uttarakhand has been accused of stripping two girls in front of the class for performing poorly in a test.,34,84,84.84848484848484,28,33,"A teacher of a private school in Haridwar district of Uttarakhand has been accused of stripping two girls in front of the class for performing poorly in a test held for English subject. While the parents of the girls lodged a complaint against the teacher and the school management, the allegation has been refuted by the school authorities. ",A teacher of a private school in Haridwar district of Uttarakhand has been accused of stripping two girls in front of the class for performing poorly in a test held for English subject.,59,33,0.46,0.5689655172413793,0.559322033898305,-0.09932203389830502,0.8224242424242425,0.4745762711864407
2,"TMC leader Dinesh Trivedi has said that successive governments have ""short changed"" Air India by treating it like their private properties. ""As the government operates BSNL and MTNL in communications and Doordarshan and All India Radio in broadcasting, it should have a national carrier as well,"" he added",50,100,100.0,48,48,"TMC leader Dinesh Trivedi has said that successive governments have ""short changed"" Air India by treating it like their private properties. Trivedi urged the government to reconsider its decision to privatise it. ""As the government operates BSNL and MTNL in communications and Doordarshan and All India Radio in broadcasting, it should have a national carrier as well,"" he added.","TMC leader Dinesh Trivedi has said that successive governments have ""short changed"" Air India by treating it like their private properties. ""As the government operates BSNL and MTNL in communications and Doordarshan and All India Radio in broadcasting, it should have a national carrier as well,"" he added.",59,48,0.55,0.8135593220338984,0.8135593220338984,-0.2635593220338983,0.6760416666666667,0.8135593220338984
3," BAT has denied allegations of a whistleblower who handed over multiple documents to SFO. However, BAT has said it is cooperating with UK authorities as campaigners are now urging US government to act.",34,84,103.03030303030303,34,33,"UK tobacco company British American Tobacco (BAT) is being investigated by the Serious Fraud Office (SFO) over allegations about involvement in bribery and corruption in Africa. BAT has denied allegations of a whistleblower who handed over multiple documents to SFO. However, BAT has said it is cooperating with UK authorities as campaigners are now urging US government to act.","BAT has denied allegations of a whistleblower who handed over multiple documents to SFO. However, BAT has said it is cooperating with UK authorities as campaigners are now urging US government to act.",59,33,0.32,0.559322033898305,0.559322033898305,-0.23932203389830503,0.5721212121212121,0.576271186440678
4,"Kapil Sharma says he is not suffering from depression. He added that apart from low blood pressure, he isn't facing any health issues and is feeling perfectly fine now. He said, ""It's just a big term for me""",47,97,84.44444444444444,38,45,"Comedian and television show host Kapil Sharma has said that he is not suffering from depression, while adding, ""It's just a big term for me."" He added that apart from low blood pressure, he isn't facing any health issues and is feeling perfectly fine now. Kapil also clarified he has no stress and pressure regarding The Kapil Sharma Show's TRP.","Comedian and television show host Kapil Sharma has said that he is not suffering from depression, while adding, ""It's just a big term for me."" He added that apart from low blood pressure, he isn't facing any health issues and is feeling perfectly fine now.",60,45,0.69,0.75,0.75,-0.06000000000000005,0.9199999999999999,0.6333333333333333
5,"Shraddha Kapoor starrer 'Haseena Parkar' was scheduled for August 18. Director Apoorva Lakhia said, ""We collectively decided to postpone the film so that it can get enough screens""",63,113,46.666666666666664,28,60,"The release of the Shraddha Kapoor starrer 'Haseena Parkar', which was scheduled for August 18, has been postponed. Director Apoorva Lakhia said, ""We collectively decided to postpone the film so that it can get enough screens and a worthy run at the box-office."" Earlier, the film's release was shifted to August 18 to reportedly avoid a clash with 'Jagga Jasoos'.","The release of the Shraddha Kapoor starrer 'Haseena Parkar', which was scheduled for August 18, has been postponed. Director Apoorva Lakhia said, ""We collectively decided to postpone the film so that it can get enough screens and a worthy run at the box-office."" Earlier, the film's release was shifted to August 18 to reportedly avoid a clash with 'Jagga Jasoos'.",60,60,0.69,1.0,1.0,-0.31000000000000005,0.69,0.4666666666666667
6,"Addiction is not a moral failing, it doesn't make you a bad person even if you have made a poor choice, says Prateik. ""[E]ven after you quit, it haunts you for a while till people start noticing the turnaround,"" he added.",44,94,97.61904761904762,41,42,"Actor Prateik Babbar, while speaking about dealing with drug addiction, said substance abuse is like a bad marriage. ""[E]ven after you quit, it haunts you for a while till people start noticing the turnaround,"" he added. Prateik further said, ""Addiction is not a moral failing, it doesn't make you a bad person even if you have made a poor choice"".","""[E]ven after you quit, it haunts you for a while till people start noticing the turnaround,"" he added. Prateik further said, ""Addiction is not a moral failing, it doesn't make you a bad person even if you have made a poor choice"".",60,42,0.59,0.7,0.7,-0.10999999999999999,0.8428571428571429,0.6833333333333333
7,Kiran Shroff says a CBFC member asked her how she could make a film like this being a woman. Producer of 'Babumoshai Bandookbaaz' Kiran,38,88,64.86486486486487,24,37,"Producer of 'Babumoshai Bandookbaaz' Kiran Shroff, while talking about sexist comments she faced, has said that a Central Board of Film Certification (CBFC) member asked her how she could make a film like this being a woman. A male member added, ""But she is not a woman. Look at what she is wearing."" Kiran said that such thoughts were regressive.","Producer of 'Babumoshai Bandookbaaz' Kiran Shroff, while talking about sexist comments she faced, has said that a Central Board of Film Certification (CBFC) member asked her how she could make a film like this being a woman.",60,37,0.3,0.6166666666666667,0.6166666666666667,-0.3166666666666667,0.48648648648648646,0.4
8,"Actress Sana Khan said she can't believe that a normal hug was trending. ""People just blew it out of proportion because [Salman] had closed fists, and some dumb people even called it an awkward hug""",60,110,60.3448275862069,35,58,"Actress Sana Khan, while speaking about Salman Khan hugging her on the red carpet at an awards show, said she can't believe that a normal hug was trending. ""People just blew it out of proportion because [Salman] had closed fists, and some dumb people even called it an awkward hug,"" she added while slamming those who trolled her.","Actress Sana Khan, while speaking about Salman Khan hugging her on the red carpet at an awards show, said she can't believe that a normal hug was trending. ""People just blew it out of proportion because [Salman] had closed fists, and some dumb people even called it an awkward hug,"" she added while slamming those who trolled her.",58,58,0.51,1.0,1.0,-0.49,0.51,0.603448275862069
9,Dia Mirza used to get frightened by the rape and acid attack threats she received online for expressing her opinion. Dia Mirza said she was trolled on social media for her views.,31,81,106.66666666666667,32,30,"Dia Mirza, while talking about being trolled on social media, said she used to get frightened by the rape and acid attack threats she received online for expressing her opinion. Dia added, ""Elements...who are faceless and nameless...who harass people, (don't) need to be taken seriously...we need to be like ducks and let (trolling) be like water sliding off our backs.""","Dia Mirza, while talking about being trolled on social media, said she used to get frightened by the rape and acid attack threats she received online for expressing her opinion.",60,30,0.4,0.5,0.5,-0.09999999999999998,0.8,0.5333333333333333
